[Tue May 02 22:02:19.640978 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:49684] script 'G:/PROJECTS/WEB/faculty/layout.php' not found or unable to stat
[Wed May 03 13:36:28.138398 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:64933] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 134, referer: http://faculty.com/admin/index.php
[Wed May 03 13:37:05.212212 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:64936] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 134, referer: http://faculty.com/admin/index.php
[Wed May 03 13:47:10.628383 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54152] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 138, referer: http://faculty.com/admin/index.php
[Wed May 03 13:48:05.419186 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54157] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 138, referer: http://faculty.com/admin/index.php
[Wed May 03 13:49:48.529377 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54173] PHP Notice:  Array to string conversion in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 138, referer: http://faculty.com/admin/index.php
[Wed May 03 13:51:00.614019 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54182] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:51:00.614019 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54182] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:51:29.263197 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54189] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:51:56.758360 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:54195] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:52:06.674234 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54202] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:52:06.674234 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54202] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
[Wed May 03 13:52:06.674234 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:54202] PHP Warning:  substr() expects parameter 1 to be string, array given in G:\\PROJECTS\\WEB\\faculty\\api\\search.php on line 210, referer: http://faculty.com/admin/index.php
